ace ##r wants $ 170 to just look at it then add the repair cost on top of that .####0,2 -1,-1	SUPPORT#PRICE#1
it is easy to use , light , and you have the ability to download apps for just about any need .####-1,-1 6,7	LAPTOP#DESIGN_FEATURES#2
however , the blue ##tooth is a nightmare .####3,5 7,8	PORTS#GENERAL#0
it just stopped working in the middle of my paper i was writing .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
the screen is good , the tablet mode is nice , and the keyboard has a good feel .####1,2 16,17	DISPLAY#GENERAL#2
the screen is good , the tablet mode is nice , and the keyboard has a good feel .####6,8 9,10	LAPTOP#GENERAL#2
the screen is good , the tablet mode is nice , and the keyboard has a good feel .####13,14 -1,-1	KEYBOARD#DESIGN_FEATURES#2
but after three charge cycles the screen started vibrating vigorously from side - to - side .####6,7 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
the tablet is good also , however can ' t they design something that covers the keyboard during tablet mode .####18,19 3,4	OS#DESIGN_FEATURES#1
it is the best chrome ##book that i have ever used .####4,6 3,4	LAPTOP#GENERAL#2
both forward and rear facing cameras would be nice too .####5,6 8,9	MULTIMEDIA_DEVICES#GENERAL#2
great product ( perfect for student use ) but did n ' t last past 2 months .####1,2 0,1	LAPTOP#GENERAL#2
great product ( perfect for student use ) but did n ' t last past 2 months .####1,2 -1,-1	LAPTOP#GENERAL#0
then the power cord went bad and i had to pay $ 50 for a new one .####2,4 5,6	POWER_SUPPLY#GENERAL#0
it ' s fine as a computer , but the lack of a real guest account made it not work ##able as a family room media machine .####14,16 18,21	SOFTWARE#GENERAL#0
hardware is still pretty sound .####0,1 4,5	HARDWARE#OPERATION_PERFORMANCE#2
but i ' m growing ever more di ##sen ##chan ##ted with the core m3 processing speed .####13,15 7,11	CPU#OPERATION_PERFORMANCE#0
also , the batter ##ly life that is reported by industry affiliates is way off .####3,6 -1,-1	BATTERY#QUALITY#0
google locked me out because after an update , my keyboard output was not as it should have been ( some keys were inverted ) .####10,12 -1,-1	KEYBOARD#OPERATION_PERFORMANCE#0
when i go to type something , it sticks and will not release .####-1,-1 -1,-1	KEYBOARD#OPERATION_PERFORMANCE#0
i will probably be sending it back as it seems too complicated .####-1,-1 11,12	LAPTOP#GENERAL#0
by far this is the most disappointing experiences that i ever had doing online shopping .####-1,-1 6,7	LAPTOP#GENERAL#0
at this stage i am disappointed than raging up and it wasn ' t the end yet the keyboard didn ' t work at all .####18,19 5,6	KEYBOARD#OPERATION_PERFORMANCE#0
nice chrome ##book .####1,3 0,1	LAPTOP#GENERAL#2
but seemed very poorly made for the money .####-1,-1 3,4	LAPTOP#QUALITY#0
it is may 14 and it ' s not connecting to wi ##fi .####11,13 -1,-1	PORTS#CONNECTIVITY#0
it won ' t hold a charge for longer than an hour , my son has to relay on this piece of cheap equipment primarily for taking notes and doing school ##work .####23,24 -1,-1	POWER_SUPPLY#OPERATION_PERFORMANCE#0
it won ' t hold a charge for longer than an hour , my son has to relay on this piece of cheap equipment primarily for taking notes and doing school ##work .####23,24 22,23	LAPTOP#PRICE#1
nice piece but battery holds only 3 ##h - not 10 .####-1,-1 0,1	LAPTOP#GENERAL#2
nice piece but battery holds only 3 ##h - not 10 .####3,4 -1,-1	BATTERY#OPERATION_PERFORMANCE#0
manufacturing seems unreliable .####0,1 2,3	LAPTOP#QUALITY#0
also , often , the device simply would not power on .####5,6 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
loved this chrome ##book .####2,4 0,1	LAPTOP#GENERAL#2
first one i received , the space bar got stuck and returned it for a replacement .####6,8 9,10	KEYBOARD#OPERATION_PERFORMANCE#0
now , the head ##phone jack produces low volume at 10 percent capacity .####3,6 7,8	MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE#0
the laptop is pretty lightweight .####1,2 4,5	LAPTOP#DESIGN_FEATURES#2
con ##s : the speakers make a loud muffled white noise while playing music on occasion .####4,5 0,2	MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE#0
on the one i received , the track ##pad is hard to press down and seems to rub against the palm rest cas ##ing .####7,9 10,11	KEYBOARD#DESIGN_FEATURES#0
it is not up to my expectations , it produces some kind of sound when you play something on youtube ( from its keyboard ) perhaps !####13,14 -1,-1	MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE#0
my main complain involves terrible battery life .####5,7 4,5	BATTERY#QUALITY#0
speakers were messed up when turned on and the return did it still have n ' t processed even though it ' s been several weeks .####0,1 2,4	MULTIMEDIA_DEVICES#QUALITY#0
very poor battery life .####2,4 1,2	BATTERY#QUALITY#0
this computer was phenomena ##l for 12 days and then the charge ##r broke and it is no longer functional .####1,2 3,5	LAPTOP#OPERATION_PERFORMANCE#2
this computer was phenomena ##l for 12 days and then the charge ##r broke and it is no longer functional .####11,13 -1,-1	POWER_SUPPLY#OPERATION_PERFORMANCE#0
very touch ##y touch screen , too sensitive .####3,5 1,3	DISPLAY#OPERATION_PERFORMANCE#0
very touch ##y touch screen , too sensitive .####3,5 7,8	DISPLAY#OPERATION_PERFORMANCE#0
this is the worst computer i have ever owned .####4,5 3,4	LAPTOP#GENERAL#0
however , after having the computer for about 4 months it suddenly died one day and would not turn on .####5,6 12,13	LAPTOP#OPERATION_PERFORMANCE#0
ud ##pate : after talking to tech support , i found out that they made the wrong repair .####6,8 16,17	SUPPORT#OPERATION_PERFORMANCE#0
worst customer service experience in years .####1,3 0,1	SUPPORT#GENERAL#0
the screen is great and the unit is fast .####1,2 3,4	DISPLAY#GENERAL#2
the screen is great and the unit is fast .####6,7 8,9	LAPTOP#OPERATION_PERFORMANCE#2
very disappointed in very bad tech support .####5,7 1,2	SUPPORT#GENERAL#0
very disappointed in very bad tech support .####5,7 4,5	SUPPORT#GENERAL#0
this is a piece of garbage .####-1,-1 5,6	LAPTOP#GENERAL#0
then tonight ( april 29th ) my daughter says it ' s not charging .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
bad touch ##pad , jerk ##y movement , imp ##re ##cise , no controls to improve .####1,3 0,1	KEYBOARD#OPERATION_PERFORMANCE#0
bad touch ##pad , jerk ##y movement , imp ##re ##cise , no controls to improve .####1,3 4,6	KEYBOARD#OPERATION_PERFORMANCE#0
bad touch ##pad , jerk ##y movement , imp ##re ##cise , no controls to improve .####1,3 8,11	KEYBOARD#OPERATION_PERFORMANCE#0
wi ##fi radio loses signal too frequently .####0,3 -1,-1	PORTS#OPERATION_PERFORMANCE#0
it began to shut down and restart all on it ' s own - continuously .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
it sounded clean and simple , exactly what we need .####-1,-1 2,3	MULTIMEDIA_DEVICES#QUALITY#2
it sounded clean and simple , exactly what we need .####-1,-1 4,5	MULTIMEDIA_DEVICES#QUALITY#2
very very very very weak battery and the play store is a joke , this thing still needs a lot of work to become a serious product .####5,6 4,5	BATTERY#GENERAL#0
very very very very weak battery and the play store is a joke , this thing still needs a lot of work to become a serious product .####8,10 12,13	SOFTWARE#GENERAL#0
very very very very weak battery and the play store is a joke , this thing still needs a lot of work to become a serious product .####26,27 -1,-1	LAPTOP#GENERAL#0
beyond that , less than a week into the ownership trial , the power _ supply failed .####13,17 17,18	POWER_SUPPLY#OPERATION_PERFORMANCE#0
but basic stuff needs to be properly engineered and designed , and this machine had two huge problems right out of the gate .####13,14 -1,-1	LAPTOP#DESIGN_FEATURES#0
good laptop , but not great .####1,2 0,1	LAPTOP#GENERAL#2
good laptop , but not great .####1,2 4,6	LAPTOP#GENERAL#1
the screen is only pretty good .####1,2 5,6	DISPLAY#GENERAL#2
the touch ##pad is above average , but not great .####1,3 4,6	KEYBOARD#GENERAL#2
the touch ##pad is above average , but not great .####1,3 8,10	KEYBOARD#GENERAL#1
why does this company keep releasing faulty units from the production line ?####3,4 -1,-1	COMPANY#OPERATION_PERFORMANCE#0
why does this company keep releasing faulty units from the production line ?####7,8 6,7	LAPTOP#GENERAL#0
2 - right arrow key not stabilized within the body and comes off .####2,5 5,7	KEYBOARD#OPERATION_PERFORMANCE#0
- display glass not glued well on one side .####1,3 3,6	DISPLAY#QUALITY#0
screen not aligned perfectly .####0,1 1,4	DISPLAY#OPERATION_PERFORMANCE#0
i purchased this as ##us chrome ##book in may of 2018 and initially loved it .####3,7 13,14	LAPTOP#GENERAL#2
this is my third and last chrome ##book .####6,8 -1,-1	LAPTOP#GENERAL#0
it wouldn ' t charge .####-1,-1 -1,-1	BATTERY#OPERATION_PERFORMANCE#0
i really wanted to like this chrome ##book .####6,8 2,5	LAPTOP#GENERAL#0
unfortunately , the touch ##screen is extremely ins ##ens ##itive , making it un ##usa ##ble .####3,5 7,10	DISPLAY#QUALITY#0
unfortunately , the touch ##screen is extremely ins ##ens ##itive , making it un ##usa ##ble .####3,5 13,16	DISPLAY#QUALITY#0
everything was good for a few days after receiving the product .####10,11 2,3	LAPTOP#GENERAL#2
very disappointing in an otherwise great product####6,7 1,2	LAPTOP#GENERAL#0
very disappointing in an otherwise great product####6,7 5,6	LAPTOP#GENERAL#2
the unit is sleek , nice and the keyboard feels ta ##ct ##ily right .####1,2 3,4	LAPTOP#GENERAL#2
the unit is sleek , nice and the keyboard feels ta ##ct ##ily right .####1,2 5,6	LAPTOP#GENERAL#2
the unit is sleek , nice and the keyboard feels ta ##ct ##ily right .####8,9 13,14	KEYBOARD#DESIGN_FEATURES#2
but , when software compatibility began stack ##ing up , it became a no ##go for me .####3,4 13,15	SOFTWARE#OPERATION_PERFORMANCE#0
very fast product , but with this kind of technology it ' s not possible to use a program , that i work ( mini ##ta ##b ) .####2,3 1,2	LAPTOP#OPERATION_PERFORMANCE#2
i ' m very disappointed with my purchase####-1,-1 4,5	LAPTOP#GENERAL#0
cpu and ram were running low .####0,1 5,6	CPU#OPERATION_PERFORMANCE#0
cpu and ram were running low .####2,3 5,6	HARD_DISC#OPERATION_PERFORMANCE#0
gp ##u wasn ' t drawing a lot of power because i was playing world of war ##craft on the recommended settings .####0,2 -1,-1	GRAPHICS#OPERATION_PERFORMANCE#1
got my replacement recently and i haven ' t had any major issues so far .####-1,-1 -1,-1	LAPTOP#GENERAL#1
i ' m still worried about the quality of cap ##ac ##itor and conductor inside this thing .####9,12 4,5	POWER_SUPPLY#QUALITY#0
i ' m still worried about the quality of cap ##ac ##itor and conductor inside this thing .####13,14 4,5	POWER_SUPPLY#QUALITY#0
overall , it is a great laptop for the price .####6,7 5,6	LAPTOP#PRICE#2
the cpu runs super fast and doesn ' t start utilizing its full potential until you start doing things like installation of applications , but the memory usage sits around 40 - 50 % the most of the time .####1,2 4,5	CPU#OPERATION_PERFORMANCE#2
the cpu runs super fast and doesn ' t start utilizing its full potential until you start doing things like installation of applications , but the memory usage sits around 40 - 50 % the most of the time .####26,27 -1,-1	MEMORY#OPERATION_PERFORMANCE#1
my fan can get it as low as 82 - 83 degrees , consistently , while idle or gaming .####1,2 6,7	FANS&COOLING#OPERATION_PERFORMANCE#2
the steel ##ster ##ies keyboard feels great and looks awesome , but the keyboard surface of the laptop can get warm while sitting idle or gaming even when i have a fan pushing cold air underneath the laptop .####1,5 6,7	KEYBOARD#GENERAL#2
the steel ##ster ##ies keyboard feels great and looks awesome , but the keyboard surface of the laptop can get warm while sitting idle or gaming even when i have a fan pushing cold air underneath the laptop .####1,5 9,10	KEYBOARD#DESIGN_FEATURES#2
the monitor is bright and colorful .####1,2 3,4	DISPLAY#DESIGN_FEATURES#2
the monitor is bright and colorful .####1,2 5,6	DISPLAY#DESIGN_FEATURES#2
i don ' t see any problems with it .####-1,-1 -1,-1	DISPLAY#OPERATION_PERFORMANCE#2
keeping the ms ##i software is optional , a few of these are useful like burn ##re ##co ##very to make a backup of your version of windows just in case anything happens .####2,5 6,7	SOFTWARE#GENERAL#1
keeping the ms ##i software is optional , a few of these are useful like burn ##re ##co ##very to make a backup of your version of windows just in case anything happens .####15,19 13,14	SOFTWARE#USABILITY#2
i updated the real ##tek audio drivers and tested it using ra ##zer surround ' s audio drivers ; it still did not fix it .####3,7 -1,-1	SOFTWARE#GENERAL#0
do not purchase this laptop .####4,5 -1,-1	LAPTOP#GENERAL#0
i had previous ##lu bought an ms ##i mob ##o which refused to boot unless windows 10 was the os , but i had worked around all of those problems .####6,10 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
i should have known better : ms ##i has boot issues , no way around it .####6,8 -1,-1	MOTHERBOARD#QUALITY#0
it simply refuses to boot .####-1,-1 -1,-1	LAPTOP#QUALITY#0
yet it fails to boot .####-1,-1 2,3	LAPTOP#OPERATION_PERFORMANCE#0
it is apparent the hard drive has failed yet again .####4,6 7,8	SOFTWARE#OPERATION_PERFORMANCE#0
upon accepting a graphics driver update , the whole laptop froze .####9,10 10,11	LAPTOP#OPERATION_PERFORMANCE#0
i ' ve never owned an ms ##i laptop and if i can help it , this one is going back and i will never own one again .####6,9 -1,-1	COMPANY#GENERAL#0
* * update - so i closed and opened this laptop again , and the simple act of putting it to sleep and waking it up , as usual , caused a problem .####10,11 -1,-1	LAPTOP#QUALITY#0
out of the box , gorgeous laptop .####6,7 5,6	LAPTOP#DESIGN_FEATURES#2
keyboard problems too .####0,1 -1,-1	KEYBOARD#GENERAL#0
so far great machine .####3,4 -1,-1	LAPTOP#GENERAL#2
the laptop ran quite swiftly !####1,2 4,5	LAPTOP#OPERATION_PERFORMANCE#2
the temperatures were good , and the overall responsive ##ness of the system was fine .####1,2 3,4	LAPTOP#GENERAL#2
the temperatures were good , and the overall responsive ##ness of the system was fine .####8,13 14,15	OS#OPERATION_PERFORMANCE#2
game performance was fantastic .####-1,-1 3,4	LAPTOP#OPERATION_PERFORMANCE#2
the intel rs ##t driver ( for the hybrid drive ) version is old , and causes rare system lock ##ups .####1,5 13,14	SOFTWARE#OPERATION_PERFORMANCE#0
further , the ms ##i dragon center ( default software on the installation ) caused a blue screen which lead to me having to factory reset .####3,8 -1,-1	SOFTWARE#OPERATION_PERFORMANCE#0
ms ##i used to have a driver install ##er by disk that would install all the proper drivers in the right order , so you ' d have the perfect configuration .####6,9 29,30	SOFTWARE#DESIGN_FEATURES#2
however , the laptop has no dvd drive , and no such driver dvd was provided .####3,4 -1,-1	LAPTOP#DESIGN_FEATURES#0
it ' s possible i got bad hardware by chance , but all of the issues being directly trace ##able to drivers suggests the issues were all driver - related .####7,8 6,7	HARDWARE#QUALITY#0
it ' s possible i got bad hardware by chance , but all of the issues being directly trace ##able to drivers suggests the issues were all driver - related .####21,22 -1,-1	SOFTWARE#GENERAL#0
second where the heck is my other 8 gigs of ram ?####7,11 -1,-1	MEMORY#GENERAL#0
its fast , light weight , quiet , and looks easy to add additional ram and hd ##d ' s .####-1,-1 3,4	LAPTOP#DESIGN_FEATURES#2
its fast , light weight , quiet , and looks easy to add additional ram and hd ##d ' s .####-1,-1 10,11	LAPTOP#USABILITY#2
i think this ms ##i product will be a part of my business for a long time .####3,6 -1,-1	LAPTOP#GENERAL#2
i bought this laptop on black friday for $ 700 and i ' m debating returning it because i ' ve had quite a few issues .####3,4 -1,-1	LAPTOP#QUALITY#0
im actually wondering if there is an issue with the speakers , it ' s so bad .####10,11 16,17	MULTIMEDIA_DEVICES#GENERAL#0
the battery life is terrible .####1,3 4,5	BATTERY#GENERAL#0
again , i wonder if my unit is defective because most reviews talk about this laptop having a 6 + hour battery life .####6,7 8,9	LAPTOP#QUALITY#0
not sure it is related , but when i open facebook , aaa ##all ##ll ##ll the messages open simultaneously .####10,11 -1,-1	SOFTWARE#OPERATION_PERFORMANCE#0
the unit is whisper quiet and hasn ' t gotten hot no matter how hard i push it .####1,2 -1,-1	LAPTOP#OPERATION_PERFORMANCE#2
i ' ve never had a computer as fast as this .####6,7 8,9	LAPTOP#OPERATION_PERFORMANCE#2
whether i ' m playing games or video editing , or web design , it doesn ' t hesitate .####-1,-1 -1,-1	LAPTOP#MISCELLANEOUS#2
i ' m not a huge gamer , but it can run cry ##sis with full mod ##s on ultra settings and doesn ' t make so much as a light hum .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#2
honestly , i ' m debating returning this laptop .####8,9 5,6	LAPTOP#GENERAL#0
your mile ##age may vary but it ' s been a headache for me since i bought it .####-1,-1 11,12	LAPTOP#GENERAL#0
the battery on this computer is not very good i feel like i always have to have it plug ##ged in .####1,2 6,9	BATTERY#QUALITY#0
bad battery , speaker and touch ##pad####1,2 0,1	BATTERY#GENERAL#0
bad battery , speaker and touch ##pad####3,4 0,1	HARDWARE#GENERAL#0
bad battery , speaker and touch ##pad####5,7 0,1	HARDWARE#GENERAL#0
it ' s fast , but the whole thing is wearing out quickly .####-1,-1 3,4	LAPTOP#OPERATION_PERFORMANCE#2
however , when i received this laptop , it stopped boot ##ing to windows after 3 days .####6,7 -1,-1	LAPTOP#QUALITY#0
the ss ##d is not work after 4 month####1,3 4,6	HARD_DISC#QUALITY#0
laptop runs really well but fans get a bit loud when gaming####0,1 3,4	LAPTOP#OPERATION_PERFORMANCE#2
laptop runs really well but fans get a bit loud when gaming####5,6 -1,-1	FANS&COOLING#OPERATION_PERFORMANCE#0
this computer is fast , as the spec ##s would have you believe , but i ' ve only had it about a week , and it has already crashed so bad once that i had to do a factory reset on it ( though , to be fair , the computer made the re ##boot super easy , so that was nice ) .####51,52 3,4	LAPTOP#OPERATION_PERFORMANCE#2
this computer is fast , as the spec ##s would have you believe , but i ' ve only had it about a week , and it has already crashed so bad once that i had to do a factory reset on it ( though , to be fair , the computer made the re ##boot super easy , so that was nice ) .####51,52 31,32	LAPTOP#QUALITY#0
this computer is fast , as the spec ##s would have you believe , but i ' ve only had it about a week , and it has already crashed so bad once that i had to do a factory reset on it ( though , to be fair , the computer made the re ##boot super easy , so that was nice ) .####51,52 57,58	LAPTOP#DESIGN_FEATURES#2
this computer is fast , as the spec ##s would have you believe , but i ' ve only had it about a week , and it has already crashed so bad once that i had to do a factory reset on it ( though , to be fair , the computer made the re ##boot super easy , so that was nice ) .####51,52 62,63	LAPTOP#DESIGN_FEATURES#2
the keyboard / mouse ##pad isn ' t super comfortable for casual use ( like on your lap , sitting on a couch ) , so i think it is more meant to be used more or less exclusively for gaming at a desk or table .####1,5 6,10	HARDWARE#USABILITY#0
it is heavy , but that is to be expected with a laptop like this one .####12,13 2,3	LAPTOP#DESIGN_FEATURES#1
however , i tried to power it up today and kept receiving an error message right at startup that was a ` ` system boot violation ` ` .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
, the advertised ram is 16 ##gb and in the answer questions section has answers from the manufacturer saying ` ` this will have 16 ##gb of memory ! ` `####3,4 5,7	MEMORY#DESIGN_FEATURES#0
i did not get what i originally paid for .####-1,-1 -1,-1	LAPTOP#GENERAL#0
i don ' t know if i got a defective model or what , but something has gone wrong every time i boot up my computer .####25,26 18,19	LAPTOP#QUALITY#0
i don ' t know if i got a defective model or what , but something has gone wrong every time i boot up my computer .####25,26 9,10	LAPTOP#QUALITY#0
not to mention it is quite cl ##unk ##y and large .####-1,-1 6,9	LAPTOP#DESIGN_FEATURES#0
not to mention it is quite cl ##unk ##y and large .####-1,-1 10,11	LAPTOP#DESIGN_FEATURES#0
just that it seems that the hard drive doesn ' t work properly .####6,8 -1,-1	SOFTWARE#OPERATION_PERFORMANCE#0
i really do like this computer , however the description is wrong .####5,6 3,4	LAPTOP#GENERAL#2
i really do like this computer , however the description is wrong .####9,10 11,12	LAPTOP#GENERAL#0
it only comes with 8 gb or ram not 16 .####7,9 -1,-1	MEMORY#DESIGN_FEATURES#0
the keys feel nice and responsive however the mouse pad is a little over responsive .####1,2 3,4	KEYBOARD#GENERAL#2
the keys feel nice and responsive however the mouse pad is a little over responsive .####1,2 14,15	KEYBOARD#GENERAL#2
the keys feel nice and responsive however the mouse pad is a little over responsive .####8,10 13,15	HARDWARE#OPERATION_PERFORMANCE#0
the monitor looks fantastic , but i still can ##t get over the fact that you are basically lied to ab ##oit memory availability .####1,2 3,4	DISPLAY#DESIGN_FEATURES#2
the monitor looks fantastic , but i still can ##t get over the fact that you are basically lied to ab ##oit memory availability .####22,24 18,19	MEMORY#GENERAL#0
the responses in the fa ##q are wrong , this does not have 16 gb of ram , almost gave it a 1 star be ##xa ##use of this reason .####1,2 7,8	SUPPORT#GENERAL#0
mouse ##pad is a little won ##ky if you ' re not deliberate with your fingers , recommend using a mouse .####0,2 5,7	HARDWARE#OPERATION_PERFORMANCE#0
keyboard layout is not the best , do not like that i have to press the function key to raise or lower the volume / brightness on the arrow keys .####0,3 3,6	KEYBOARD#DESIGN_FEATURES#1
the cooler boost button is cool , also like the fan placement and how the laptop is elevated in the back .####1,4 1,2	FANS&COOLING#DESIGN_FEATURES#2
the cooler boost button is cool , also like the fan placement and how the laptop is elevated in the back .####10,12 8,9	FANS&COOLING#DESIGN_FEATURES#2
the cooler boost button is cool , also like the fan placement and how the laptop is elevated in the back .####15,16 8,9	LAPTOP#DESIGN_FEATURES#2
in essence , if you want a gaming pc , this one will do the job .####8,9 -1,-1	LAPTOP#GENERAL#2
this laptop is actually horrible .####1,2 4,5	LAPTOP#GENERAL#0
everything about the experience has been terrible .####-1,-1 6,7	LAPTOP#GENERAL#0
the most recent incident is the sound wo n ' t work .####6,7 -1,-1	MULTIMEDIA_DEVICES#QUALITY#0
i had this for all of a day before it began to have severe issues i set it back to factory settings and that worked for a time but it eventually had an issue with system 32 .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
i had this for all of a day before it began to have severe issues i set it back to factory settings and that worked for a time but it eventually had an issue with system 32 .####35,37 -1,-1	OS#OPERATION_PERFORMANCE#0
within two months , there were too many issues / bugs with the os .####13,14 -1,-1	OS#OPERATION_PERFORMANCE#0
the screen would freeze , requiring a hard shut ##down .####1,2 3,4	DISPLAY#OPERATION_PERFORMANCE#0
the computer ' s hardware is decent , but the materials are poor .####1,5 6,7	HARDWARE#GENERAL#2
the computer ' s hardware is decent , but the materials are poor .####10,11 12,13	LAPTOP#QUALITY#0
the screen is surprisingly poor .####1,2 4,5	DISPLAY#GENERAL#0
it took hours to restore to factory default settings , and it crashed once again days later .####-1,-1 12,13	LAPTOP#OPERATION_PERFORMANCE#0
this is completely unacceptable for any computer to have this recurring issue , let alone a mid - tier performance gaming laptop .####16,22 3,4	LAPTOP#QUALITY#0
i am still di ##sas ##ti ##fied even if this was a replacement####12,13 3,7	LAPTOP#OPERATION_PERFORMANCE#0
the last straw happened recently when i put it to sleep and it just wouldn ' t wake up - or rather it would try , and then spend the next several hours in a repair / analyzing mode that didn ' t actually do anything .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
i have had nothing but problems with it since i bought it .####-1,-1 -1,-1	LAPTOP#GENERAL#0
and finally today , 4 months after purchasing it , it has completely crashed .####-1,-1 13,14	LAPTOP#OPERATION_PERFORMANCE#0
the computer can not repair whatever disc issues it has .####1,2 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
this was the worst computer ever .####4,5 3,4	LAPTOP#GENERAL#0
do not buy this computer !####4,5 -1,-1	LAPTOP#GENERAL#0
so far , it all works well .####-1,-1 6,7	LAPTOP#OPERATION_PERFORMANCE#2
today was my heaviest use of the new computer , and no less than 20 times have i had to undo / un ##sc ##roll / un ##sel ##ect / un ##zoo ##m .####8,9 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
multiple system crashes .####1,2 2,3	OS#OPERATION_PERFORMANCE#0
but let me not recommend it .####-1,-1 3,5	LAPTOP#GENERAL#0
was installing an update and the computer went black .####6,7 -1,-1	LAPTOP#USABILITY#0
i bought this originally a few months back , died within a week .####-1,-1 9,10	LAPTOP#GENERAL#0
so called ms ##i tech support , went through the troubles ##hoot ##ing and of course they could not fix it .####2,6 -1,-1	SUPPORT#GENERAL#0
eventually it brick ##ed and died 3 days after any possible ref ##und could be made .####-1,-1 5,6	LAPTOP#OPERATION_PERFORMANCE#0
if you want something that would last longer than a month , look somewhere else , as this is an absolute rip - off .####-1,-1 21,24	LAPTOP#GENERAL#0
it ' s a very fast laptop .####-1,-1 5,6	LAPTOP#OPERATION_PERFORMANCE#2
i use it for gaming and it runs rocket league at max graphics and it looks amazing !####-1,-1 16,17	LAPTOP#OPERATION_PERFORMANCE#2
i definitely recommend this if you are looking for a good gaming laptop .####12,13 2,3	LAPTOP#GENERAL#2
i definitely recommend this if you are looking for a good gaming laptop .####12,13 10,11	LAPTOP#GENERAL#2
i have had to wipe this pc about 8 times in the short 2 months i have owned it .####6,7 -1,-1	LAPTOP#USABILITY#0
its functionality is fine and for a gaming computer it performs well , don ' t connect an hd ##mi cable to it though , this will fry it , also don ' t turn it off cause you have a good chance of having to reset your laptop to factory settings .####7,9 11,12	LAPTOP#OPERATION_PERFORMANCE#2
i can no longer return it and have wasted $ 850 , the support refuses to get back in touch or provide any form of civil ##ity .####-1,-1 -1,-1	LAPTOP#GENERAL#0
i can no longer return it and have wasted $ 850 , the support refuses to get back in touch or provide any form of civil ##ity .####13,14 -1,-1	SUPPORT#QUALITY#0
i used this laptop mainly to play counters ##tri ##ke and pub ##g which it did just fine until something got corrupted with the opt ##ane drive .####3,4 17,18	LAPTOP#GENERAL#1
i used this laptop mainly to play counters ##tri ##ke and pub ##g which it did just fine until something got corrupted with the opt ##ane drive .####24,27 -1,-1	GRAPHICS#GENERAL#0
however , not to impressed with ms ##i ' s customer support .####6,12 2,5	SUPPORT#GENERAL#0
playing a movie couldn ' t even last the duration of the movie on the battery , again , disappointing .####15,16 19,20	BATTERY#OPERATION_PERFORMANCE#0
its a sleek race ##car of a machine and ran the new insurgency : sands ##torm with ease .####7,8 2,3	LAPTOP#MISCELLANEOUS#2
if you buy this machine - be prepared for it to break .####4,5 -1,-1	LAPTOP#GENERAL#0
very good looking and fast laptop if only if it would stop crashing and having to reset back to default settings .####5,6 1,3	LAPTOP#DESIGN_FEATURES#2
very good looking and fast laptop if only if it would stop crashing and having to reset back to default settings .####5,6 4,5	LAPTOP#OPERATION_PERFORMANCE#2
very good looking and fast laptop if only if it would stop crashing and having to reset back to default settings .####5,6 12,13	LAPTOP#QUALITY#0
it randomly shut ##s down all programs running and goes back to the desktop like nothing was going on .####-1,-1 -1,-1	OS#OPERATION_PERFORMANCE#0
stay far away from this laptop !####5,6 -1,-1	LAPTOP#GENERAL#0
only been using it for about a week , continuously getting the error that it can not connect to speakers .####19,20 -1,-1	MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE#0
note that this laptop is only 45 days ##ish old .####3,4 -1,-1	LAPTOP#GENERAL#0
cpu and gp ##u are good , ram is good and i like the keyboard .####0,1 9,10	CPU#GENERAL#2
cpu and gp ##u are good , ram is good and i like the keyboard .####2,4 9,10	GRAPHICS#GENERAL#2
cpu and gp ##u are good , ram is good and i like the keyboard .####7,8 -1,-1	MEMORY#GENERAL#2
cpu and gp ##u are good , ram is good and i like the keyboard .####14,15 12,13	KEYBOARD#GENERAL#2
port options are nice as well .####0,2 3,4	PORTS#GENERAL#2
the picture quality seems .####1,3 -1,-1	DISPLAY#DESIGN_FEATURES#0
fans can get loud .####0,1 3,4	FANS&COOLING#OPERATION_PERFORMANCE#0
speakers sound tin ##ny .####0,1 2,4	MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE#0
this laptop is my first time using the intel opt ##ane thing and after this i can not recommend it .####1,2 -1,-1	LAPTOP#GENERAL#0
it is freaking painful how long it can take games to load with that hard drive .####14,16 3,4	HARD_DISC#OPERATION_PERFORMANCE#0
i absolutely love this laptop , it looks great , its quality is amazing and can handle so many games without any la ##g involved .####4,5 2,3	LAPTOP#GENERAL#2
i absolutely love this laptop , it looks great , its quality is amazing and can handle so many games without any la ##g involved .####4,5 8,9	LAPTOP#DESIGN_FEATURES#2
